R F' R'3 F'; 90-degree Gear Rotation (2)
R F' L'3 D3; 90-degree Gear Rotation (2)
R F' L'3 D'; 90-degree Gear Rotation (2)
R F' L'3 F3; 90-degree Gear Rotation (2)
R F' L'3 F'; 90-degree Gear Rotation (2)
R F' U'3 F3; 90-degree Gear Rotation (2)
R F' U'3 F'; 90-degree Gear Rotation (2)
R F' D'3 F3; 90-degree Gear Rotation (2)
R F' D'3 F'; 90-degree Gear Rotation (2)
R F'3 R3 D; 90-degree Gear Rotation (2)
R F'3 R3 D'3; 90-degree Gear Rotation (2)
R F'3 R3 F; 90-degree Gear Rotation (2)
R F'3 R3 F'3; 90-degree Gear Rotation (2)
R F'3 L3 U; 90-degree Gear Rotation (2)
R F'3 L3 U'3; 90-degree Gear Rotation (2)
R F'3 L3 F; 90-degree Gear Rotation (2)
R F'3 L3 F'3; 90-degree Gear Rotation (2)
R F'3 U3 F; 90-degree Gear Rotation (2)
R F'3 U3 F'3; 90-degree Gear Rotation (2)
R F'3 D3 F; 90-degree Gear Rotation (2)
R F'3 D3 F'3; 90-degree Gear Rotation (2)
R B R3 U; 90-degree Gear Rotation (2)
R B R3 U'3; 90-degree Gear Rotation (2)
R B R3 B; 90-degree Gear Rotation (2)
R B R3 B'3; 90-degree Gear Rotation (2)
R B L3 D; 90-degree Gear Rotation (2)
R B L3 D'3; 90-degree Gear Rotation (2)
R B L3 B; 90-degree Gear Rotation (2)
R B L3 B'3; 90-degree Gear Rotation (2)
R B U3 B; 90-degree Gear Rotation (2)
R B U3 B'3; 90-degree Gear Rotation (2)
R B D3 B; 90-degree Gear Rotation (2)
R B D3 B'3; 90-degree Gear Rotation (2)
R B3 R'3 D3; 90-degree Gear Rotation (2)
R B3 R'3 D'; 90-degree Gear Rotation (2)
R B3 R'3 B3; 90-degree Gear Rotation (2)
R B3 R'3 B'; 90-degree Gear Rotation (2)
R B3 L'3 U3; 90-degree Gear Rotation (2)
R B3 L'3 U'; 90-degree Gear Rotation (2)
R B3 L'3 B3; 90-degree Gear Rotation (2)
R B3 L'3 B'; 90-degree Gear Rotation (2)
R B3 U'3 B3; 90-degree Gear Rotation (2)
R B3 U'3 B'; 90-degree Gear Rotation (2)
R B3 D'3 B3; 90-degree Gear Rotation (2)
R B3 D'3 B'; 90-degree Gear Rotation (2)
R B' R'3 D3; 90-degree Gear Rotation (2)
R B' R'3 D'; 90-degree Gear Rotation (2)
R B' R'3 B3; 90-degree Gear Rotation (2)
R B' R'3 B'; 90-degree Gear Rotation (2)
R B' L'3 U3; 90-degree Gear Rotation (2)
R B' L'3 U'; 90-degree Gear Rotation (2)
R B' L'3 B3; 90-degree Gear Rotation (2)
R B' L'3 B'; 90-degree Gear Rotation (2)
R B' U'3 B3; 90-degree Gear Rotation (2)
R B' U'3 B'; 90-degree Gear Rotation (2)
R B' D'3 B3; 90-degree Gear Rotation (2)
R B' D'3 B'; 90-degree Gear Rotation (2)
R B'3 R3 U; 90-degree Gear Rotation (2)
R B'3 R3 U'3; 90-degree Gear Rotation (2)
R B'3 R3 B; 90-degree Gear Rotation (2)
R B'3 R3 B'3; 90-degree Gear Rotation (2)
R B'3 L3 D; 90-degree Gear Rotation (2)
R B'3 L3 D'3; 90-degree Gear Rotation (2)
R B'3 L3 B; 90-degree Gear Rotation (2)
